,pagerank
Upper East Side North,0.023982099828711013
Upper East Side South,0.021896680157295425
Midtown Center,0.019695718782190643
Murray Hill,0.01719992313853547
Upper West Side South,0.01591003355251761
Times Sq/Theatre District,0.015804289901706108
Midtown East,0.015765240465516035
Lincoln Square East,0.015559631648731809
Lenox Hill West,0.01503956940643263
Clinton East,0.014953576985675126
Upper West Side North,0.014605233652984816
East Chelsea,0.013968895016187442
Lenox Hill East,0.013851473777082924
Union Sq,0.013258054739917384
Penn Station/Madison Sq West,0.01303433488802977
East Harlem South,0.012947283554374538
East Village,0.012906864462758086
Midtown North,0.012840157401431471
Yorkville West,0.012773421588011865
Gramercy,0.01187677007201149
Sutton Place/Turtle Bay North,0.011628881953588978
Midtown South,0.011442736369335087
West Chelsea/Hudson Yards,0.010734856442315173
East Harlem North,0.010682938148699892
TriBeCa/Civic Center,0.010598143368677575
Kips Bay,0.010022843054030154
West Village,0.009404916442721581
UN/Turtle Bay South,0.009253888056658725
Central Harlem North,0.009131647819579048
LaGuardia Airport,0.008908409642566593
Yorkville East,0.008884113547880771
Central Harlem,0.008869048866635577
JFK Airport,0.008752891577194446
Lincoln Square West,0.008694045507213765
Flatiron,0.008529588122013368
Garment District,0.008361405448861107
Morningside Heights,0.00775573807372418
Greenwich Village North,0.007524757543615357
Central Park,0.0075224315784105334
Manhattan Valley,0.007267690989032053
Crown Heights North,0.007230381664632753
Park Slope,0.007100007553359947
Lower East Side,0.007069097063883602
Clinton West,0.007009561031978628
Astoria,0.006837312996130954
Washington Heights South,0.006383418830870993
Greenwich Village South,0.006014034130335725
Meatpacking/West Village West,0.005862299836889236
Little Italy/NoLiTa,0.005831438230113392
Financial District North,0.005769757512887248
Newark Airport,0.005725592199132049
Jackson Heights,0.005631997775765662
Battery Park City,0.005223226102623518
East New York,0.005201922376333046
SoHo,0.005095976788332703
Fort Greene,0.004925144635031165
Forest Hills,0.004901257090840626
Brooklyn Heights,0.004816749524012135
NA,0.004782820680543012
NV,0.004743933422219574
Sunnyside,0.004701879716715739
Flatbush/Ditmas Park,0.004685099752094513
Boerum Hill,0.004647246986041829
Hamilton Heights,0.004620341712682422
Prospect-Lefferts Gardens,0.004612887945285823
Bedford,0.004393950964616406
Two Bridges/Seward Park,0.004377097346250875
Elmhurst,0.00431256923325274
Steinway,0.0042992279582957545
Clinton Hill,0.004290722592231117
Stuyvesant Heights,0.004082380596330314
Bay Ridge,0.0040093460612290145
Long Island City/Hunters Point,0.003955773543011028
Jamaica,0.0038769699147510888
Bushwick South,0.0038472526161717124
World Trade Center,0.0037642195388463643
Downtown Brooklyn/MetroTech,0.0037264933964002585
Canarsie,0.003653820336963523
Washington Heights North,0.00358592535104282
Sunset Park West,0.003490026426030288
Williamsburg (North Side),0.003416400506710423
Richmond Hill,0.003414603943078652
Alphabet City,0.0034137768258483987
Greenpoint,0.0033960086495416447
South Ozone Park,0.003371895277817977
Brownsville,0.003365216373134291
Hudson Sq,0.003360568150933526
Williamsburg (South Side),0.0033401378297111084
Financial District South,0.0033183310460895296
Mott Haven/Port Morris,0.0033096765906094204
Bloomingdale,0.0032733693058254304
Van Nest/Morris Park,0.0031534708385319624
Old Astoria,0.0031375020829166617
Woodside,0.0031219364002045263
Flushing,0.0030748567309373765
Coney Island,0.0030101521495730734
Manhattanville,0.003009968932575496
Chinatown,0.002994791577308676
East Williamsburg,0.002972841608689957
Flatlands,0.002918787725125485
Stuy Town/Peter Cooper Village,0.002896977589397565
Sheepshead Bay,0.0028644404947318677
Borough Park,0.0028252501649486603
Seaport,0.0028065925927374807
East Concourse/Concourse Village,0.0027816081676992955
East Flatbush/Remsen Village,0.0027244503148431214
Soundview/Castle Hill,0.00272429398527778
Co-Op City,0.002569406358318294
East Flatbush/Farragut,0.0025252811458713787
Saint Albans,0.0025196063373901685
Melrose South,0.002507930783006758
West Concourse,0.0025038761690489705
Prospect Heights,0.0024304566942981395
Ocean Hill,0.0024294398957767434
Corona,0.002429119515417413
Bushwick North,0.002428086035640497
Crown Heights South,0.002424899612053357
DUMBO/Vinegar Hill,0.0023900460890122883
Long Island City/Queens Plaza,0.0023354369148442214
Rego Park,0.002307168276136005
Midwood,0.0022834036584748795
University Heights/Morris Heights,0.002267812526052999
Baisley Park,0.0022677887070975244
Inwood,0.0022535244317957843
Queensbridge/Ravenswood,0.002247973741517421
Carroll Gardens,0.0022383973046078516
Kew Gardens,0.002238307444882003
Norwood,0.002220139910333015
Williamsbridge/Olinville,0.0022187468583365756
Ridgewood,0.002185003869282799
Bensonhurst West,0.0021778386009372905
Kew Gardens Hills,0.002177221539134579
Marine Park/Mill Basin,0.0021608158990466457
South Jamaica,0.0021416528366224458
Briarwood/Jamaica Hills,0.0021374150564800426
East Elmhurst,0.002081282482823937
Red Hook,0.002080169568716447
Mount Hope,0.0020740416907562976
Homecrest,0.0020428364082428654
Hillcrest/Pomonok,0.0020418221757869375
North Corona,0.0020403640718221366
Bedford Park,0.0019416801363238037
Queens Village,0.001929707386027313
Sunset Park East,0.0018989097232239615
Erasmus,0.001885907921144576
Spuyten Duyvil/Kingsbridge,0.001871963453331842
Highbridge,0.0018571780026681757
Elmhurst/Maspeth,0.0018559292995569561
Pelham Parkway,0.0018527323859088463
East Tremont,0.001848437680979712
Morrisania/Melrose,0.001838651638371473
Cobble Hill,0.001836648198295088
Gowanus,0.0018168530744200719
East New York/Pennsylvania Avenue,0.0018109329574505363
Maspeth,0.0017945952957286512
Springfield Gardens North,0.0017940654007560664
Claremont/Bathgate,0.0017930214953276145
Brighton Beach,0.0017777090707910641
Kingsbridge Heights,0.0017666823856388228
Bensonhurst East,0.0017349121188559307
Woodhaven,0.0017303452477124394
Hammels/Arverne,0.0017200266728501857
Schuylerville/Edgewater Park,0.0017013239137658592
Madison,0.001699075362135552
Kensington,0.00168719472406285
Parkchester,0.0016746430883325032
Jamaica Estates,0.0016351278798391968
Van Cortlandt Village,0.0016122843631523644
Far Rockaway,0.0016037173561249747
Starrett City,0.001593662010593275
Windsor Terrace,0.001584430778283936
Cypress Hills,0.0015701048765588803
Eastchester,0.0015424997368767405
Middle Village,0.0015418069779879733
Gravesend,0.0015375812557174027
Westchester Village/Unionport,0.001528330458595658
Glendale,0.0014938080598155639
Hunts Point,0.0014836031777613159
Bayside,0.001482871872508144
Belmont,0.0014741900627959254
Dyker Heights,0.0014644292894449484
Springfield Gardens South,0.0014628485071185213
Bronxdale,0.0014534999354188518
Woodlawn/Wakefield,0.0014513249624230596
South Williamsburg,0.0014472337573578162
Soundview/Bruckner,0.0014310284700318411
Manhattan Beach,0.001413110294030435
Flushing Meadows-Corona Park,0.0014123838641013696
Murray Hill-Queens,0.001382894153723086
West Farms/Bronx River,0.0013633320127210474
Howard Beach,0.0013606136340974695
Allerton/Pelham Gardens,0.0013243979944389892
Laurelton,0.0013200988538486095
Riverdale/North Riverdale/Fieldston,0.0013164865348892153
Crotona Park East,0.001297795325471163
Bath Beach,0.001286710572239906
College Point,0.001273850098412617
Cambria Heights,0.001272726369540345
Longwood,0.0012687731382235354
Rosedale,0.0012208975081871498
Queensboro Hill,0.0012182580271462924
Whitestone,0.0012066267311879432
Fordham South,0.0011967689282887685
Auburndale,0.0011933435003108604
Rockaway Park,0.0011418441589990396
Glen Oaks,0.0011269401669376752
Hollis,0.0011197615998966492
Roosevelt Island,0.0011175293676724258
Bellerose,0.0011162667892416873
Fresh Meadows,0.0010993424603551573
Columbia Street,0.001085611581718177
Bay Terrace/Fort Totten,0.0010726916406625928
Arrochar/Fort Wadsworth,0.0010660277416599737
Ozone Park,0.001060511155896257
Ocean Parkway South,0.0010570241998209963
Prospect Park,0.0010490013641803696
Bloomfield/Emerson Hill,0.0010381306412038998
Pelham Bay,0.001031001826092893
Douglaston,0.0010159885240621518
Oakland Gardens,0.0009948920936644326
East Flushing,0.0009602541148504927
South Beach/Dongan Hills,0.0009327101057252742
Brooklyn Navy Yard,0.0009241776723619663
Randalls Island,0.000908734933823185
Battery Park,0.0009016449432937932
Stapleton,0.0008954523975517897
Bronx Park,0.0008836857262190328
Heartland Village/Todt Hill,0.0008817538764608279
New Dorp/Midland Beach,0.0008786369324568473
Saint George/New Brighton,0.0008592231222962493
Van Cortlandt Park,0.0008530816585600007
Grymes Hill/Clifton,0.000850541356511119
Marble Hill,0.0008497971894010573
Charleston/Tottenville,0.0008257872153957936
Inwood Hill Park,0.0007938988760752817
Forest Park/Highland Park,0.0007935332518478705
Mariners Harbor,0.0007911377991741727
Marine Park/Floyd Bennett Field,0.0007900386018321957
Great Kills,0.0007747317388078584
Pelham Bay Park,0.0007494381763302489
Highbridge Park,0.0007361665411871607
City Island,0.0007246937148104051
Saint Michaels Cemetery/Woodside,0.0007238724158046175
Westerleigh,0.0007056699262807847
Breezy Point/Fort Tilden/Riis Beach,0.0007032224462521319
Arden Heights,0.0006939666055667702
Country Club,0.0006868280260955652
West Brighton,0.0006856532686517874
Eltingville/Annadale/Prince's Bay,0.0006805918437069516
Port Richmond,0.0006665029018324941
Green-Wood Cemetery,0.0006499414879592348
Rossville/Woodrow,0.0006484877180418819
Willets Point,0.0006462462523598468
Crotona Park,0.0006423108788890633
Oakwood,0.0006419144968732994
Broad Channel,0.0006335299026922553
Astoria Park,0.000629908523804822
Freshkills Park,0.0006273303097395705
Jamaica Bay,0.0006244940864312594
Governor's Island/Ellis Island/Liberty Island,0.0006223933807955654
Rikers Island,0.0006152648806189942
Great Kills Park,0.0005730019562614671
