feature,coefficient,abs_importance
ema_3h,3.1761591352111034,3.1761591352111034
ema_6h,-1.0517758597220712,1.0517758597220712
rolling_mean_3h,-0.9096682293927637,0.9096682293927637
ema_12h,0.32026966497310044,0.32026966497310044
lag_1h,-0.28334182424149357,0.28334182424149357
rolling_mean_6h,-0.19517925490052923,0.19517925490052923
lag_3h,-0.09218907667184303,0.09218907667184303
ema_24h,-0.0660556637195107,0.0660556637195107
lag_2h,0.06017306934881955,0.06017306934881955
rolling_mean_12h,0.04882218114886546,0.04882218114886546
rolling_min_168h,-0.028283615899150506,0.028283615899150506
rolling_mean_24h,-0.014845300692417185,0.014845300692417185
ema_168h,0.011530874243165462,0.011530874243165462
rolling_max_6h,0.0107167235092315,0.0107167235092315
rolling_std_6h,-0.007595825671160948,0.007595825671160948
rolling_mean_168h,-0.005460722902412163,0.005460722902412163
rolling_min_6h,0.004847270424526602,0.004847270424526602
rolling_max_3h,-0.0046862676096826915,0.0046862676096826915
rolling_min_24h,0.004342076043857758,0.004342076043857758
rolling_min_12h,-0.003932043016819033,0.003932043016819033
rolling_max_12h,-0.0036167638032645936,0.0036167638032645936
rolling_min_3h,-0.00286691514408476,0.00286691514408476
pickup_borough_Unknown,-0.002691406672649129,0.002691406672649129
rolling_std_168h,-0.0025703662531721847,0.0025703662531721847
is_rush_hour,-0.0015626546519772876,0.0015626546519772876
pickup_borough_Manhattan,-0.0013431370966619264,0.0013431370966619264
pickup_borough_EWR,0.0012857211794010432,0.0012857211794010432
hour_sin,0.000993564510551151,0.000993564510551151
rolling_std_12h,0.0009045531325769183,0.0009045531325769183
pickup_borough_Bronx,0.000896567988838209,0.000896567988838209
dayofweek_sin,-0.0008956939673959405,0.0008956939673959405
is_weekend,-0.0008627155155216163,0.0008627155155216163
service_type_green_trip,0.0007835401990841645,0.0007835401990841645
service_type_yellow_trip,-0.0007835401987582726,0.0007835401987582726
dayofmonth_cos,-0.0006568485624287364,0.0006568485624287364
weekofyear_sin,-0.0006541799576402143,0.0006541799576402143
rolling_max_24h,0.0006483761932368601,0.0006483761932368601
pickup_borough_Brooklyn,0.00064826392889649,0.00064826392889649
pickup_borough_Staten Island,0.0006360214490456983,0.0006360214490456983
weekofyear_cos,-0.000585633204471953,0.000585633204471953
rolling_std_3h,0.0004564025909054926,0.0004564025909054926
is_night,0.00041613569537501255,0.00041613569537501255
rolling_max_168h,0.0004134064922914372,0.0004134064922914372
lag_24h,0.00039337740918937974,0.00039337740918937974
dayofweek_cos,-0.00037460353113327673,0.00037460353113327673
rolling_std_24h,-0.0003432347265296265,0.0003432347265296265
pickup_borough_Queens,0.00027968194988475407,0.00027968194988475407
hour_cos,-0.00020468938511385612,0.00020468938511385612
hour,0.00019168922534016427,0.00019168922534016427
dayofmonth_sin,0.00018498081123206485,0.00018498081123206485
dayofweek,-0.00017913296075546727,0.00017913296075546727
dayofmonth,3.146766167978708e-05,3.146766167978708e-05
weekofyear,-1.5792811801138062e-05,1.5792811801138062e-05
lag_168h,-1.464208699398959e-05,1.464208699398959e-05
zone_encoded,-6.9032366409766715e-06,6.9032366409766715e-06
